Date;HH;MM;SS;EOG Left[uV];EEG C3-A1[uV];EEG O1-A1[uV];EEG C4-A1[uV];EEG O2-A1[uV]
2016/03/08;1;27;21,5;-7,12890625000002;2,05078124999998;23,6328125;3,02734374999998;18,45703125
2016/03/08;1;27;21,505;-6,64062500000002;-2,05078125000002;19,43359375;2,83203124999998;19,7265625
2016/03/08;1;27;21,51;-6,34765625000002;-1,85546875000002;17,28515625;4,10156249999998;19,3359375
2016/03/08;1;27;21,515;-7,32421875000002;-1,66015625000002;16,89453125;5,56640624999998;19,23828125
2016/03/08;1;27;21,52;-5,66406250000002;-0,488281250000017;16,796875;7,42187499999998;20,99609375
2016/03/08;1;27;21,525;-2,63671875000002;0,781249999999983;14,74609375;10,25390625;19,3359375
2016/03/08;1;27;21,53;-2,34375000000002;2,14843749999998;8,78906249999998;9,57031249999998;14,94140625
2016/03/08;1;27;21,535;-3,41796875000002;6,83593749999998;6,15234374999998;10,64453125;15,4296875
2016/03/08;1;27;21,54;-5,17578125000002;9,66796874999998;5,17578124999998;9,66796874999998;13,37890625
2016/03/08;1;27;21,545;-6,64062500000002;11,23046875;6,34765624999998;8,59374999999998;13,671875
2016/03/08;1;27;21,55;-6,73828125000002;10,9375;7,91015624999998;7,03124999999998;14,2578125
2016/03/08;1;27;21,555;-5,85937500000002;7,32421874999998;6,83593749999998;4,88281249999998;14,35546875
2016/03/08;1;27;21,56;-6,44531250000002;2,63671874999998;6,83593749999998;2,92968749999998;14,94140625
2016/03/08;1;27;21,565;-7,32421875000002;1,26953124999998;6,15234374999998;3,32031249999998;14,453125
2016/03/08;1;27;21,57;-7,81250000000002;1,75781249999998;7,03124999999998;1,85546874999998;14,74609375
2016/03/08;1;27;21,575;-10,7421875;1,85546874999998;7,51953124999998;4,10156249999998;15,234375
2016/03/08;1;27;21,58;-5,95703125000002;10,83984375;9,27734374999998;7,61718749999998;13,96484375
2016/03/08;1;27;21,585;-8,10546875000002;11,62109375;7,42187499999998;5,07812499999998;12,98828125
2016/03/08;1;27;21,59;-8,78906250000002;15,234375;8,98437499999998;7,81249999999998;14,16015625
2016/03/08;1;27;21,595;-5,95703125000002;17,28515625;8,39843749999998;8,78906249999998;12,01171875
2016/03/08;1;27;21,6;-6,15234375000002;15,625;7,42187499999998;9,86328124999998;10,3515625
2016/03/08;1;27;21,605;-6,34765625000002;13,28125;5,46874999999998;9,47265624999998;7,42187499999998
2016/03/08;1;27;21,61;-3,02734375000002;13,57421875;5,56640624999998;10,9375;9,86328124999998
2016/03/08;1;27;21,615;-4,00390625000002;10,64453125;3,02734374999998;9,86328124999998;6,34765624999998
2016/03/08;1;27;21,62;-5,95703125000002;9,96093749999998;3,80859374999998;9,76562499999998;7,61718749999998
2016/03/08;1;27;21,625;-5,95703125000002;8,88671874999998;3,02734374999998;9,17968749999998;5,76171874999998
2016/03/08;1;27;21,63;-3,12500000000002;10,3515625;4,98046874999998;9,76562499999998;6,34765624999998
2016/03/08;1;27;21,635;-1,66015625000002;8,69140624999998;1,95312499999998;6,64062499999998;2,63671874999998
2016/03/08;1;27;21,64;-1,95312500000002;10,83984375;-0,781250000000017;5,46874999999998;3,61328124999998
2016/03/08;1;27;21,645;0,488281249999983;13,8671875;-1,26953125000002;7,42187499999998;3,22265624999998
2016/03/08;1;27;21,65;-2,73437500000002;15,625;-4,58984375000002;8,49609374999998;2,34374999999998
2016/03/08;1;27;21,655;-2,92968750000002;19,62890625;-4,68750000000002;13,28125;3,80859374999998
2016/03/08;1;27;21,66;-1,46484375000002;21,19140625;-5,66406250000002;18,1640625;2,63671874999998
2016/03/08;1;27;21,665;-2,73437500000002;22,0703125;-7,91015625000002;19,04296875;-3,41796875000002
2016/03/08;1;27;21,67;0,585937499999983;24,8046875;-8,00781250000002;21,77734375;-4,00390625000002
2016/03/08;1;27;21,675;3,90624999999998;24,31640625;-11,23046875;19,43359375;-7,51953125000002
2016/03/08;1;27;21,68;5,66406249999998;24,21875;-12,6953125;18,1640625;-10,9375
2016/03/08;1;27;21,685;8,98437499999998;21,2890625;-15,33203125;18,1640625;-11,81640625
2016/03/08;1;27;21,69;7,71484374999998;20,41015625;-17,48046875;18,359375;-14,84375
2016/03/08;1;27;21,695;6,64062499999998;20,01953125;-16,89453125;18,9453125;-18,65234375
2016/03/08;1;27;21,7;6,54296874999998;16,9921875;-17,3828125;17,67578125;-20,3125
2016/03/08;1;27;21,705;5,27343749999998;17,1875;-16,50390625;17,96875;-19,921875
2016/03/08;1;27;21,71;6,05468749999998;17,96875;-12,79296875;21,58203125;-16,69921875
2016/03/08;1;27;21,715;6,83593749999998;17,7734375;-11,23046875;22,8515625;-14,16015625
2016/03/08;1;27;21,72;8,78906249999998;21,77734375;-8,78906250000002;25;-8,69140625000002
2016/03/08;1;27;21,725;9,66796874999998;19,43359375;-9,08203125000002;24,4140625;-8,98437500000002
2016/03/08;1;27;21,73;9,86328124999998;18,45703125;-11,23046875;21,2890625;-11,23046875
2016/03/08;1;27;21,735;9,96093749999998;18,75;-11,5234375;22,0703125;-10,7421875
2016/03/08;1;27;21,74;8,98437499999998;17,7734375;-12,79296875;24,12109375;-10,3515625
2016/03/08;1;27;21,745;6,44531249999998;15,91796875;-14,55078125;24,4140625;-8,49609375000002
2016/03/08;1;27;21,75;6,05468749999998;16,6015625;-14,2578125;26,5625;-3,12500000000002
2016/03/08;1;27;21,755;4,58984374999998;17,578125;-15,52734375;28,515625;-1,36718750000002
2016/03/08;1;27;21,76;3,51562499999998;20,5078125;-16,11328125;29,6875;0,390624999999983
2016/03/08;1;27;21,765;4,98046874999998;23,73046875;-16,89453125;29,19921875;-0,585937500000017
2016/03/08;1;27;21,77;5,76171874999998;20,99609375;-21,6796875;24,0234375;-5,56640625000002
2016/03/08;1;27;21,775;5,66406249999998;25,390625;-19,04296875;25,87890625;-2,53906250000002
2016/03/08;1;27;21,78;5,46874999999998;24,90234375;-21,19140625;24,31640625;-4,68750000000002
2016/03/08;1;27;21,785;4,58984374999998;26,66015625;-18,9453125;27,63671875;-3,41796875000002
2016/03/08;1;27;21,79;4,19921874999998;28,7109375;-17,7734375;29,19921875;-2,73437500000002
2016/03/08;1;27;21,795;4,29687499999998;25,9765625;-19,7265625;30,17578125;-5,95703125000002
2016/03/08;1;27;21,8;2,83203124999998;24,609375;-17,7734375;29,00390625;-4,39453125000002
2016/03/08;1;27;21,805;4,49218749999998;25,390625;-16,015625;28,22265625;-1,07421875000002
2016/03/08;1;27;21,81;3,90624999999998;23,2421875;-19,04296875;26,953125;-1,85546875000002
2016/03/08;1;27;21,815;4,49218749999998;25,390625;-17,08984375;27,734375;1,75781249999998
2016/03/08;1;27;21,82;3,80859374999998;24,4140625;-18,75;26,7578125;-1,66533453693773E-014
2016/03/08;1;27;21,825;5,37109374999998;28,90625;-17,87109375;30,078125;1,26953124999998
2016/03/08;1;27;21,83;4,68749999999998;31,4453125;-17,7734375;31,25;1,07421874999998
2016/03/08;1;27;21,835;6,44531249999998;32,51953125;-17,1875;34,5703125;1,95312499999998
2016/03/08;1;27;21,84;6,54296874999998;29,00390625;-18,9453125;30,859375;-0,976562500000017
2016/03/08;1;27;21,845;7,32421874999998;27,5390625;-16,69921875;31,8359375;-1,66015625000002
2016/03/08;1;27;21,85;5,46874999999998;21,09375;-17,7734375;27,83203125;-3,71093750000002
2016/03/08;1;27;21,855;4,39453124999998;19,140625;-16,11328125;24,8046875;-3,12500000000002
2016/03/08;1;27;21,86;3,22265624999998;17,67578125;-13,671875;20,41015625;-3,51562500000002
2016/03/08;1;27;21,865;1,17187499999998;14,84375;-12,40234375;16,015625;-4,19921875000002
2016/03/08;1;27;21,87;2,63671874999998;13,18359375;-10,25390625;13,8671875;-3,90625000000002
2016/03/08;1;27;21,875;1,95312499999998;11,1328125;-11,81640625;9,47265624999998;-7,03125000000002
2016/03/08;1;27;21,88;1,56249999999998;11,62109375;-11,1328125;10,44921875;-7,12890625000002
2016/03/08;1;27;21,885;-0,195312500000017;14,0625;-9,57031250000002;12,40234375;-4,68750000000002
2016/03/08;1;27;21,89;-2,73437500000002;13,28125;-9,96093750000002;11,5234375;-2,92968750000002
2016/03/08;1;27;21,895;-4,39453125000002;13,0859375;-8,00781250000002;13,4765625;2,05078124999998
2016/03/08;1;27;21,9;-4,39453125000002;12,59765625;-10,44921875;12,59765625;3,22265624999998
2016/03/08;1;27;21,905;-4,29687500000002;14,16015625;-10,546875;10,83984375;2,63671874999998
2016/03/08;1;27;21,91;-1,26953125000002;15,234375;-9,96093750000002;8,30078124999998;1,36718749999998
2016/03/08;1;27;21,915;-0,781250000000017;15,91796875;-8,49609375000002;7,42187499999998;1,36718749999998
2016/03/08;1;27;21,92;-1,95312500000002;13,4765625;-10,9375;5,76171874999998;0,0976562499999833
2016/03/08;1;27;21,925;-2,34375000000002;11,1328125;-11,81640625;6,93359374999998;0,0976562499999833
2016/03/08;1;27;21,93;-3,51562500000002;8,30078124999998;-16,11328125;4,00390624999998;-1,95312500000002
2016/03/08;1;27;21,935;-2,92968750000002;9,57031249999998;-15,625;3,90624999999998;-0,488281250000017
2016/03/08;1;27;21,94;-1,66533453693773E-014;12,98828125;-12,6953125;5,66406249999998;3,32031249999998
2016/03/08;1;27;21,945;0,878906249999983;11,81640625;-14,6484375;6,73828124999998;3,61328124999998
2016/03/08;1;27;21,95;1,75781249999998;15,33203125;-13,57421875;8,20312499999998;6,83593749999998
